step,mean_reward_mean,mean_reward_std,steps_per_second_mean,steps_per_second_std
1000,-1.0807643658105144,0.08180776223651422,1503.640812748072,386.53285526687245
2000,-1.0865377524523374,0.03966289952281102,1537.5766687525181,261.9053351103906
3000,-1.0666317752068277,0.0702483303980336,1561.921077045958,198.1717342106526
4000,-1.0832547180710137,0.08200562371663306,1579.6441070034816,162.48300903982212
5000,-1.096341347742517,0.10828998037834563,1590.016602361505,138.9057526621901
