step,mean_reward,steps_per_second,elapsed_sec
1000,-1.1387828183942963,1684.8633989755776,0.59
2000,-1.0201631969562481,1673.2606870084355,1.2
3000,-1.021390623020271,1655.1549960958957,1.81
4000,-1.225164472172121,1648.368443774333,2.43
5000,-1.0068322126097464,1641.485736702855,3.05
