step,mean_reward,steps_per_second,elapsed_sec
1000,-1.1870017733342215,1656.7458718654855,0.6
2000,-1.1264591098614756,1631.8433045972315,1.23
3000,-1.15388553345764,1632.1104244632274,1.84
4000,-1.032578164512765,1637.3545874713977,2.44
5000,-1.2796899719485633,1644.4896221562958,3.04
